Penulis,Komentar
@NurLina-kn9gw,"Naskah kakeknya ""aduh kebelek EE"""
@teachteach_ID,0:42
@PutraMelayu-k7h,Buat malu anak muda Indonesia
@putrafremont,"Cinepolis dalem hati ""njir malu bgt posting ginian, tapi gimana lagi"""
@PennyMccool83,Freak argh....  grrrr....
@anantarestuayanda8789,6 m lebih?g salah?
@acilpinkyboy-z5q,"Ini dia beberapa penampakan di film gj ini
0:13 marsha and the bear
0:33 marsha lagi
0:42 gudang senjata
 anomali burung
 suara bocah kayak mbah dukun"
@petsco7439,"Dari segi audio, visual, bahkan pemilihan kata, sangat memperihatinkan... Kalau memang buat anak kecil, kenapa tidak cari referensi semisal seperti animasi cocomelon. Bangsa apa ini? Random sekali."
@aliendrums9362,Wapresnya aja kayak gitu.. Mau ngarepin apaan negara ini 
@Rezzzyy,Anime berserk tak seburuk itu
@annecitaa,kek film hantu pls
@awanHITAM_O4z,Animasi terjelek dan terburuk
@TerempeduJr,terharu sampe crt
@vincentiusvlm3705,Ini film ditayangin di Bioskop?
@yogafinery5370,Karakternya semua Overlay   tembus pandang 
@jungkieeee765,trash grade
@NaufalAlparis,"lah bukan dibatalkan, kok masih bisa tayang sih... takedown aja nih trailer..."
@yeDelapantiga,bagusan jumbo
@someon-e1e,Coba bandingkan dengan animator Minecraft 
@KenzuuuAlfaro,Beta buka gudang bendera hilang
@galihadhie-xt6sg,Asa maen PS 1
@D33W4,
@SayaFifi-x8d,overrated anjir kartun nya
